Source.Name,Column1
corona_work_depression.csv,comment
corona_work_depression.csv,この話になるとなぜか絶対に白か黒か決めなきゃいけないような人が増えるけど、これこそみんな違ってみんないい、ということじゃない？
corona_work_depression.csv,向いてる仕事もあれば向いてない仕事もあるし、向いてる人もいれば向いてない人もいる。
corona_work_depression.csv,要は働き方の選択肢が増えるということが一番大切なことだと思う。
corona_work_depression.csv,
corona_work_depression.csv,"個人的に思うテレワークのメリットは、人材を近隣からではなく全国からでも選べるようになったことだと感じました。"""
corona_work_depression.csv,年間20日程度しか出社していません。在宅ワークに関しては楽というより、時間が有効的に活用できる、という表現が正しいと思います。
corona_work_depression.csv,特に共働きですから、通勤時間に充てている時間を家事や育児に回す事が可能です。これからの企業は「必ず在宅ワークを、必ず出社を」といったことではなく、状況や業務内容に合わせて柔軟に対応を、という指示と、それが出来るだけの環境を目指してくれれば働き手がより充実した毎日を送れると思います。従業員は、在宅ワークと出社のメリット、デメリットを理解した上で対応出来れば1番いいですね。
corona_work_depression.csv,
corona_work_depression.csv,"とはいえ在宅ワークが難しい業務内容に関しては、出社せざるを得ないですが…"""
corona_work_depression.csv,昔から満員電車が大嫌い…
corona_work_depression.csv,
corona_work_depression.csv,企業と雇用契約を締結するときに自家用車での移動条件を認めてくれる企業で働いていました。要求される成果を出す事を条件に社内仕事は在宅で行っていました。当時はセキュリティが緩かったので自宅用の通信設備やパソコンなどは自費でしたが、通勤と言う無駄な時間を仕事に費やして成果を上げていました。
corona_work_depression.csv,
corona_work_depression.csv,在宅ワークで明確な成果を求められないのであればそれは楽な仕事であり自由な時間もある。そんな夏休みのような生活から出社を求められれば嫌なものなのでは？
corona_work_depression.csv,
corona_work_depression.csv,"中には再拡大すれば良いのにと思う者もいるのでは？"""
corona_work_depression.csv,この人には悪いけど産業医は信用出来ないんだよね。結局、企業に雇われた人だから企業に都合の良い判断しかしない人が結構いるし、実際に面談という場において上司と部下で先ずは面談するのが最初になるけど、上司と個別面談するケースでは上司から聞いた状況を基に診断する。だから実績に数十社あると言われても上司側や会社側の人間にとっては良いのかもしれないけど、医者としての信頼度では無いと思ってる。こういう意味でも産業医という仕組みも本当は政府や行政が管理すべき部分だと思うのだけど今の所は医者自身のモラルや意識に委ねるしかないんだよね。
corona_work_depression.csv,「人は多忙な状況であっても毎日、同じことを繰り返すだけであれば大きなストレスを感じません。同じ刺激には次第に慣れてくるのです。」
corona_work_depression.csv,
corona_work_depression.csv,とありますが、慣れではなく感覚がマヒしてるだけのケースもあるのでちょっと違うかなと思いました。
corona_work_depression.csv,
corona_work_depression.csv,コロナの再拡大もあるため、いまいちど仕事の仕方を見直した方がいいのではないかと個人的に思います。
corona_work_depression.csv,
corona_work_depression.csv,業種や職種によるところもありますが、強制的に全員出社ではなく、仕事の状況や個人の希望などを今一度確認したうえで、在宅も柔軟に取り入れていける社内の仕組みを整えていくのが将来的にも理想だと考えています。
corona_work_depression.csv,
corona_work_depression.csv,"クラスター起きて大問題、大混乱などになるよりは整備しておいた方がいいんじゃないのかな、と、上司に言えないのでここで言わせてもらいます。"""
corona_work_depression.csv,3月まではフル在宅。4月からは異動で週一在宅。
corona_work_depression.csv,どちらがいいかというと個人的には在宅。在宅でできる仕事限定だけど、出社の電車等のストレスがないのが大きい。
corona_work_depression.csv,けど出社しないとできない仕事もあるし、顔合わせた方がいいことももちろんある。
corona_work_depression.csv,あとは育児の面でも在宅の方がいい。
corona_work_depression.csv,
corona_work_depression.csv,でも独身一人暮らしの人にはそのメリットはないだろうし、フルリモートだと誰とも喋らずに1日が終わる。それもストレス。
corona_work_depression.csv,それぞれの生き方で選べればいいんだけど、いろんな意見あるし難しいよね。
corona_work_depression.csv,"個人的にはいまの週一在宅を継続はしていきたい。"""
corona_work_depression.csv,結果を残せるのであれば在宅でもよいがパフォーマンスが落ちてしまうようならダメだと思う。日本の働き方は結果を重視しないので在宅勤務で頑張っていますというのは説明が難しい側面がある。また、対面でアイディア出しなど雑談の中から生まれることも重要で、仕事の裁量権がある人がハイブリットで働くのが良いと思う。在宅の楽さだけを強調するだけではダメになる。
corona_work_depression.csv,出社している時と同じパフォーマンスが出せて、チームメンバーとコミュニケーションが取れる。それができれば育児や家事だって全く問題ない。そもそもテレワークってコロナだからっていう会社が大部分みたいだけど、働き方改革の流れで随分前から議論されてきたという事を思い出そう。効率が悪くなる云々というのは、何となくそんな感じがするっていうのではなく、チームメンバーを管理する上司や経営陣が数字で判断し従業員に対して説明をする。昔、フレックスタイムが会社に導入された後に出社時間がルーズになって取引先からもクレームが多く入った事があった。そういう事実を経営陣から全社員にきちんと共有された上でフレックス制度は無くなったのだけど、その時は皆、納得していた（皆が思い当たるフシがあっただろうし）。在宅を無くすのは各企業の方針だけど全社員がちゃんと納得する根拠を示すことが必要です。
corona_work_depression.csv,楽を視点に考える段階でダメだと思う。
corona_work_depression.csv,賃金分だけの働きができているかどうか。これは在宅、出社には関わらずまず査定すべきこと。
corona_work_depression.csv,あと、事務系は在宅に切り替えられるはず。
corona_work_depression.csv,できないのはただ単に設備が整っていないこととスキルが足りないだけでこれで会社の人材教育のレベルが分かる。
corona_work_depression.csv,"そう考えると非正規で人件費を浮かすことを考える企業が多い日本では見合う会社は少ないと思う。"""
corona_work_depression.csv,在宅でやっていますが、やはり時間や体調の良さが格段に違います。
corona_work_depression.csv,"睡眠が、確保しやすく、なおかつ、通勤の時間を自分が満足できる何かに充てられるのでストレスも減ります。仕事柄難しい職種も多いとは思うので、やりたい仕事を取るか、少し妥協して環境を取るか。そこ次第ではないでしょうか。会社に強要するのは違うと思いますので、難しい。"""
corona_work_depression10.csv,comment
corona_work_depression10.csv,自分は元から自宅でする仕事だけど、メインで契約している会社はすでに全員が通常勤務だよ。
corona_work_depression10.csv,同業他社がテレワークで動きが鈍く、クライアントの要求に即日で取り組めないためどんどん仕事が増えている。結果、自分も忙しい。
corona_work_depression10.csv,実際、食うか食われるか、５年もすればかなりの差が出ると思うわ。肝心の会社自体が傾いたときに、ストレスだ何だと言ってたのが恥ずかしくなるんじゃない？
corona_work_depression10.csv,"それにコロナ前からリモートワークはあった。週三日勤務の部長職とかもいた。特別な能力のある人は、何としても会社は繋ぎ止めておきたかったからね。奇しくもリモートワークはこんなに社員数は要らなかったというのも浮き彫りにしてますね。貴方は何か特別なものを持ってますか？　どこにでもいる代えのきく歯車だったりしない？"""
corona_work_depression10.csv,コロナ渦にリモート勤務で対応できる範囲が拡大した事は働き方のフレキシビリティを高める事に繋がり、これは正に「進化」と言える。リモートで済む事に対してもし通勤という「無駄」を義務として課すようであればそれは「退化」と言える。労務管理の観点からは経営側の意図や懸念は理解できなくはないですが。
corona_work_depression10.csv,在宅、出社、どっちでもいいけど、会社全体がそれで利益出てるかどうかでしょ。
corona_work_depression10.csv,在宅から出社に切り替わってる会社は、結局在宅だとうまく利益が出せなかったからでしょう。
corona_work_depression10.csv,ただ、在宅で利益出せない会社が悪とは全く思いません。
corona_work_depression10.csv,"私は在宅より出社の方が仕事しやすいタイプなので…"""
corona_work_depression10.csv,往復の通勤時間が在宅ワークになり無くなった分、働く時間は増えたが打ち合わせでなく構築実装する時間が増えたので、トータルの働く時間は減った。
corona_work_depression10.csv,
corona_work_depression10.csv,オフィス出社はないが、客先に行くことがあるので、それが時間の無駄でストレスかな？
corona_work_depression10.csv,"働く事はストレスでしかないけど、なるべくなら減らしたいよね。"""
corona_work_depression10.csv,結果主義に基づくなら在宅の方が、パフォーマンスが上がる。
corona_work_depression10.csv,個人情報云々言い出すと、在宅はできなくなってしまうのはわかる。
corona_work_depression10.csv,"在宅で結果出してる人を、無駄に出社しての勤務に変更するのは、やめた方が会社にも有益だと思う。"""
corona_work_depression10.csv,陽性者を感染者扱いするなど騒動当初から数字を恣意的に操作している疑いは拭えません
corona_work_depression10.csv,検査方法にしても開発者自身が感染症検査には用いてはならないことを公表した後亡くなっています
corona_work_depression10.csv,"政府、御用マスコミの情報のみを鵜呑みにせず、ぜひご自身で調べて事実を掴んで判断なさってください"""
corona_work_depression10.csv,在宅とか関係なく上司とか管理側次第だと思いますけどね。みんなイライラしてるけど上司だからって周囲に甘えてる人を見るとやたらイライラしますね。
corona_work_depression10.csv,責任持って管理してほしいけど実際には体力のある人が仕事やっちゃって評価されていればいいんだからまともに悩むだけ無駄だったりする。だからサボったもんが勝ち。
corona_work_depression10.csv,"それでいいのか省みる人もいない。"""
corona_work_depression10.csv,私が働いている会社は、業務部隊は在宅継続。出社は管理職判断です。出社の際はフルタイムでの出勤に限られてます。
corona_work_depression10.csv,私は管理職なのですが、社内で対面MTGがあり出社を依頼したら、MTG、10分前にきて、終わったら勝手に帰っていった。後日注意したら、子供が帰ってくるのに会社に出ろというのかと、逆ギレされた。結局、その人は働き方が合わないと言ってやめていった。周りのスタッフの事など、何も考えていない様子でした。
corona_work_depression10.csv,"辞めてくれて良かった。"""
corona_work_depression10.csv,典型的なメンバーシップ型の昭和の大企業のイメージだね。
corona_work_depression10.csv,オフィスじゃないとコピー機やプリンタがどうこうって。　いまどき紙使う？
corona_work_depression10.csv,書類の持ち出しなんてめちゃくちゃ厳しくて余程のことがないとコピー機もプリンタも使わないけど、まだそういう業種もたくさんあるのかな？　「紙は使わない」と決めればいいだけの話だと思うけど、出社させるための言い訳にしてる気がするな。
corona_work_depression10.csv,
corona_work_depression10.csv,まぁオフィスでダラダラ過ごして残業代を稼ぎたい人も多いだろうから、そういう人だけ出社させればいいんじゃないかな。
corona_work_depression10.csv,
corona_work_depression10.csv,そもそも海外とのビジネスが多い業界は顧客とのやり取りは必然的にリモートになるわけで、実際に顔を合わせるのは数ヶ月に一回とかが普通。
corona_work_depression10.csv,"デスクワークが主体の仕事は出社もその頻度で充分なんじゃないかな。"""
corona_work_depression10.csv,給料が低く、内部留保が多いのも、超不景気になって赤字続きになっても
corona_work_depression10.csv,給料を支払うための蓄えだし、能力が低くても簡単にクビにならないし、
corona_work_depression10.csv,出社の有無くらい安い問題だと思うぞ。
corona_work_depression10.csv,当方みたいに、幸か不幸か正規雇用というスタートラインにすら立てず、
corona_work_depression10.csv,"独立した人もいるんだし、贅沢言っちゃいけないぞ。"""
corona_work_depression11.csv,comment
corona_work_depression11.csv,> 3月にまん延防止等重点措置が全面的に解除され、在宅勤務が中心だった生活から、再び満員電車で通勤し、オフィスで仕事をする人も増加。
corona_work_depression11.csv,
corona_work_depression11.csv,なんだか、一方的な見方をしてるけど、在宅勤務が中心だった人がそれ程多かったのかどうか？
corona_work_depression11.csv,まん防の時ですら、満員電車の中で通勤し、感染しないかどうか不安だった。
corona_work_depression11.csv,早起きをせず、満員電車の揉まれず、感染のリスクがなく、周りの目を気にせず、ほとんどの日が在宅勤務だった人たちを羨ましく思ったこともあった。
corona_work_depression11.csv,"それだけにこの記事は何か違和感を覚える。"""
corona_work_depression11.csv,医者が通勤を推奨するようだからこの国はダメになる。日本の通勤環境を知っているのか？医者は快適な通勤をしているんだろう。会社員はどうだ？財布を落としたら電車を止めるような国だぞ。快適な通勤なんて皆無だ。テレワークが減ってからどれだけ電車は遅延していると思う？毎日だ。たったの一日も遅延せずに運行出来ない。それが今の日本だ。都庁は満員電車を無くすんじゃなかったのか？そもそも、テレワークで済む仕事は絶対にある。生産性が上がる仕事もある。ある期間はテレワークで集中した方が良い仕事だってある。この国の問題は働く側に選択肢がないことだ。何でも一律主義。この国は社会主義なんだよね、発想が。あの人はテレワークなのに自分はとかさ。業務内容とかキャリア、経験でも違うだろう。臨機応変って言葉がこれほど馴染まない国もないな。個々の生産性なんて上がるわけがない。
corona_work_depression11.csv,難しいねー、
corona_work_depression11.csv,在宅で不便もないし、むしろ効率が良い。という意見も多いけど、人々が出社することで、昼食など、都心周辺の飲食業は成り立っているし、交通機関も安定収入を得る。
corona_work_depression11.csv,帰りに寄り道をする人々でファッション業界や居酒屋は儲かる。
corona_work_depression11.csv,"テレワークで企業としてはオフィス代、交通費もろもろの経費は浮くことになるけど、広い目で経済を回すなら、出社が必要なのかもしれない。"""
corona_work_depression11.csv,とにかくメンタルが弱すぎる、もっと仕事に真剣に向き合ってほしい。
corona_work_depression11.csv,この鬱病とは何ぞや？みたいな発言を繰り返していた先輩がこのコロナ禍の厳しい状況で鬱になりました。
